nr,id,name,year,type,series_1,series_2,series_3,image
162,HTB47,Dessert Drifter,2024,Mainline,Fast Foodie,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/9f/20240703_130555.png
162,HTD87,Dessert Drifter (2nd Color),2024,Mainline,Fast Foodie,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/fd/2024_Dessert_Drifter.jpg
163,HTB78,Speed Bump,2024,Mainline,HW Art Cars,New in Mainline,null,https://static.wikia.nocookie.net/hotwheels/images/f/fa/Thumbnail_PXL_20240804_202328934.MP.jpg
163,HTD90,Speed Bump (2nd Color),2024,Mainline,HW Art Cars,New in Mainline,null,https://static.wikia.nocookie.net/hotwheels/images/a/ad/2024_%28-163%29_Speed_Bump_%28Blue%29.jpg
164,HRY82,Mailed It!,2024,Mainline,HW Art Cars,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/b/b9/MailedIt.jpg
164,HTD91,Mailed It! (2nd Color),2024,Mainline,HW Art Cars,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/b/b6/MailedIt2024WhiteRight.jpg
165,HTB85,McLaren P1,2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/aa/2013McLarenP1.jpg
165,HTF65,McLaren P1 (2nd Color),2024,Mainline,Quarter Mile Heroes,Kroger Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/3/3d/20241128_082652.jpg
165,HTD92,McLaren P1 (3rd Color),2024,Mainline,Quarter Mile Heroes,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/f3/Mainline_2024_McLaren_P1_Burgundy_Malaysia_HTD92.jpg
166,HRY75,Later Crater,2024,Mainline,HW Reverse Rake,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/ee/LaterCrater.jpg
167,HTC11,Duck N' Roll,2024,Mainline,Hot Wheels Let's Race,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/fa/Duck%27nRoll.jpg
168,HRY79,Rink Racer,2024,Mainline,HW Ride-Ons,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/a/ae/RinkRacer.jpg
168,HTF11,Rink Racer (2nd Color),2024,Mainline,HW Ride-Ons,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/c/c6/Mainline_2024_Rink_Racer_MF_Green_Malaysia_HTF11.jpg
169,HTC45,Mitsubishi Pajero Evolution,2024,Mainline,HW J-Imports,null,null,https://static.wikia.nocookie.net/hotwheels/images/e/ef/HTC45.jpg
169,HTF38,Mitsubishi Pajero Evolution (Super Treasure Hunt),2024,Mainline,HW J-Imports,null,null,https://static.wikia.nocookie.net/hotwheels/images/8/82/PAJERO.jpg
170,HTC46,'95 Mazda RX-7,2024,Mainline,HW J-Imports,null,null,https://static.wikia.nocookie.net/hotwheels/images/c/c5/MuRX-7.jpg
170,HTD97,'95 Mazda RX-7 (2nd Color),2024,Mainline,HW J-Imports,null,null,https://static.wikia.nocookie.net/hotwheels/images/b/b3/1995MazdaRX-7Mu.jpg
170,HTF69,'95 Mazda RX-7 (3rd Color),2024,Mainline,HW J-Imports,Kroger Exclusive,null,https://storage.googleapis.com/stateless-www-jordanstreasurec/2024/10/b78a31f3-20241016_124452-scaled.jpg
171,HTC59,'69 Mercury Cougar Eliminator,2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/d2/1969_Mercury_Cougar.jpeg
171,HTD98,'69 Mercury Cougar Eliminator (2nd Color),2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/ac/2024_%28-171%29_%2769_Mercury_Cougar_Eliminator_%28Green%29.jpg
172,HRY70,Porsche 911 Rallye,2024,Mainline,HW Turbo,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/3/39/Porsche911Dakar.jpg
173,HTB01,24/Seven,2024,Mainline,HW Celebration Racers,International Friendship Day,null,https://static.wikia.nocookie.net/hotwheels/images/e/ef/HTB01.jpg
174,HTB03,'96 Porsche Carrera,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/00/1996PorscheCarrera.jpg
174,HTF01,'96 Porsche Carrera (2nd Color),2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/5/5b/96_Porsche_Carrera_white.png
175,HTB04,'90 Acura NSX,2024,Mainline,HW: The '90s,null,null,https://static.wikia.nocookie.net/hotwheels/images/3/3c/1990AcuraNSX.jpg
175,HTF53,'90 Acura NSX (2nd Color - Zamac),2024,Mainline,HW: The '90s,Walmart Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/b/b2/2024_%28-010%29_Acura_NSX_%28-%2790%29_%28Zamac%29.jpg
175,HTF02,'90 Acura NSX (3rd Color),2024,Mainline,HW: The '90s,null,null,https://wheelcollectors.com/cdn/shop/files/20241008_171948_1800x1800.jpg
176,HTB20,Dragtor,2024,Mainline,HW Metro,null,null,https://static.wikia.nocookie.net/hotwheels/images/e/e0/Mainline_2024_Dragtor_Pink_Malaysia_HTB20.jpg
176,HTF04,Dragtor (2nd Color),2024,Mainline,HW Metro,null,null,https://static.wikia.nocookie.net/hotwheels/images/1/1e/2024_%28-176%29_Dragtor_%28Maroon%29.jpg
177,HTB23,Batman: The Animated Series Batmobile,2024,Mainline,Batman,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/de/20240804_101630_25%25.jpg
178,HTB24,Mercedes-Benz Unimog 1300L,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/d9/Mainline_2024_Mercedes-Benz_Unimog_1300L_MF_Green_Malaysia_HTB24.jpg
178,HTF54,Mercedes-Benz Unimog 1300L (2nd Color - Zamac),2024,Mainline,HW Dirt,Walmart Exclusive,null,https://static.wikia.nocookie.net/hotwheels/images/d/d0/HTF54_UNIMOG_ZAMAK_o4.jpg
178,HTF05,Mercedes-Benz Unimog 1300L (3rd Color),2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/b/b5/Mercedes-Benz_Unimog_1300L_Orange_Lot_P_2024.jpg
179,HTB25,Rally Speciale,2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/c/c8/DirtSpeciale.jpg
179,HTF06,Rally Speciale (2nd Color),2024,Mainline,HW Dirt,null,null,https://static.wikia.nocookie.net/hotwheels/images/d/da/2024_Rally_Speciale.jpg
180,HTB39,Grumobile,2024,Mainline,HW Screen Time,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/98/HTB39.png
181,HTB53,Shelby Cobra 427 S/C,2024,Mainline,HW Rolling Metal,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/4f/ShelbyCobra.jpg
182,HTB93,Chrysler Pacifica,2024,Mainline,HW Vans,null,null,https://static.wikia.nocookie.net/hotwheels/images/9/99/HTB93.jpg
183,HTF24,Bone Shaker,2024,Mainline,HW Track Champs,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/0/04/2024-183_HTF24_Bone_Shaker_TH_open-2-5.jpg
